"","SRR1166442_Aligned.sortedByCoord.out.bam","SRR1166443_Aligned.sortedByCoord.out.bam","SRR1166444_Aligned.sortedByCoord.out.bam","SRR1166445_Aligned.sortedByCoord.out.bam","SRR1166446_Aligned.sortedByCoord.out.bam","SRR1166447_Aligned.sortedByCoord.out.bam"
"YKL155C",2533.09295629442,2544.05986515542,2671.80808935696,2815.58149855458,2898.59520736566,2630.01955633907
"YKL154W",1999.34802289956,1975.4809971633,1991.93848633028,1776.61189515971,1975.47571457405,1819.11586832646
"YNCK0006C",0.975767702732827,2.64455287438193,3.40502305355603,1.74177636780364,5.12844162662007,3.42153454857642
"YKL152C",287442.625638739,270740.508102974,289442.849659846,221735.098726874,222637.959271481,220609.142577046
"YKL151C",9825.98076651956,9023.21440739115,9360.40837422552,8932.70010228096,9461.97480111403,8305.20486091116
"YKL150W",5036.91288150685,4486.04319257655,4450.36513099773,16640.0605298121,15381.2221265589,16742.7090577006
"YKL149C",1616.84708342829,1613.17725337298,1585.60573527259,1363.81089599025,1399.03887574195,1273.95136358662
"YKL148C",3533.25485159557,3457.31212444198,3439.07328409159,21225.2868180551,18401.8742446381,21186.1419247852
"YKL146W",4147.98850431725,4086.71570854488,4213.14852493333,5848.88504308462,5497.68942373671,5959.17267210393
"YKL145W",12659.6101752557,11825.5589366112,11805.2149266788,14497.6755974136,14800.6825344255,13894.8518017688
"YKL144C",1384.61437017788,1430.70310504062,1423.29963638642,1412.58063428875,1382.62786253677,1432.48246433733
"YKL143W",1988.6145781695,2118.28685237993,1834.17241818218,2707.59136375076,2873.97868755789,2891.19669354707
"YKL142W",6507.39480952522,5863.85524012953,5689.79352249212,7862.37852426563,7837.28449380079,7463.50736196136
"YKL141W",4679.78190230664,4299.16145612023,4196.12340966555,17650.2908231382,15409.941399668,17811.3683483726
"YKL140W",3585.94630754314,3283.65315235756,3426.58819956188,2625.72787446399,2907.82640229358,2668.79694788961
"YKL139W",1656.85355924034,1709.26267447552,1728.61670352194,2117.12917506532,2203.17852279598,2130.47551224692
"YKL138C-A",908.439731244262,939.697788030379,948.866424257613,1000.65052330319,955.941519201981,1001.3691112167
"YKL138C",1391.44474409701,1302.0015318207,1280.28866813707,2136.28871511116,2132.40602834862,1969.66338846382
"YKL137W",1166.04240476573,1079.85909037262,1062.36719270948,1641.62422665493,1638.02425554245,1633.21249118714
"YKL135C",4823.21975460836,4759.31365626268,4701.20182927636,4366.63335408372,4243.27260186544,4217.61158687853
"YKL134C",1279.23145828274,1289.66028507359,1289.36872961322,1268.88408394495,1337.49757622251,1337.82000849338
"YKL133C",1403.1539565298,1321.39491956617,1332.49902162493,2462.87178407435,2148.81704155381,2413.32236826257
"YKL132C",826.475244214704,796.891932813755,777.480263895293,598.30018234055,547.717565723023,569.115246579878
"YKL130C",1567.08293058892,1597.30993612669,1537.93541252281,1393.42109424291,1419.55264224843,1365.19228488199
"YKL129C",2872.66011684544,2823.50095221511,2843.19424971928,2994.11357625446,2872.95299923256,2907.16385477376
"YKL128C",4353.87548959387,4414.64026496824,4754.54719044873,1437.8363916219,1425.70677220038,1471.25985588786
"YNCK0007W",3.90307081093131,6.17062337355784,3.40502305355603,6.09621728731274,4.10275330129605,1.14051151619214
"YKL127W",3349.81052348179,3347.12242134273,3459.50342241292,1697.36107042465,1616.48480071065,1664.00630212433
"YKL126W",5356.96468800322,5089.88276556042,5083.69941895915,5414.31183931761,5276.14074546673,5335.31287274683
"YKL125W",2821.92019630333,2739.75677785968,2876.10947257033,2806.00172853166,3036.03744295908,2829.6090716727
"YKL124W",3018.04950455263,2935.45369056394,2898.8096262607,3308.50421064301,3567.34399547692,3257.30089024475
"YKL122C",3245.40337928938,3318.03233972453,3122.40614011088,4095.78712889026,3893.51288292996,4089.87429706501
"YKL121W",2593.59055386385,2441.80382067932,2442.53653708419,1620.72291024129,1699.56555506189,1539.69054685939
"YKL120W",18335.6509020525,18964.9701798176,18805.9423247899,6975.81435305357,7853.69550700597,7270.76091572489
"YKL119C",1409.0085627462,1484.47568015306,1373.3592982676,1224.46878656596,1256.46819852192,1256.84369084374
"YNCK0008W",3.90307081093131,2.64455287438193,3.40502305355603,0.87088818390182,5.12844162662007,1.14051151619214
"YKL117W",9301.99351015204,8779.91554294801,8828.08977018626,12451.0883652443,12436.4709445537,12006.1647309547
"YKL116C",2059.845620469,2091.84132363611,2276.82541514446,1786.19166518263,1843.16192060725,1839.64507561792
"YKL114C",3095.13515306853,3069.44436953263,3056.57569440879,2466.35533680995,2521.14190364643,2433.85157555403
"YKL113C",5671.16188828319,5505.95908446318,6772.59085352294,4556.48697817432,4457.64146185816,4378.42371066162
"YKL112W",5708.24106098704,5596.75539981696,5936.09019003268,5609.39079251162,5503.84355368866,5304.51906180964
"YKL110C",2627.7424234595,2826.14550508949,3105.3810248431,3910.28794571917,3444.26139643804,4031.70820973921
"YKL109W",1383.63860247515,1539.12977289028,1392.65442890442,8928.34566136145,8776.81499979759,9763.91909012091
"YKL108W",1512.43993923588,1499.46147977455,1564.04058926674,1940.33887373325,1749.82428300277,1913.77832417041
"YKL107W",352.25214068655,349.962497043209,351.85238220079,937.94657406226,848.244245042959,857.664660176489
"YKL106C-A",13.6607478382596,9.69669387273374,11.3500768451868,21.7722045975455,16.4110132051842,13.6861381943057
"YKL106W",3805.49404065802,3831.07559735462,4002.03709561285,2057.90877856,2085.22436538372,2051.78021762966
"YKL105C",3286.38562280416,3354.17456234108,3311.9524234255,3670.79369514617,3620.67978839377,3617.70252936147
"YKL104C",7044.06704602828,6929.61004850545,6993.91735200408,6653.5857250099,6362.34468198486,6682.25697336974
"YKL104W-A",0,0,0,0,0,0
