"GO Term","p-value (adjusted)","k (genes in cluster)","f (genes in category)","Genes in category from cluster"
"carboxylic acid metabolic process",1.52339757846378e-24,69,358,"YAL044C/YAL012W/YBR248C/YCL030C/YDL182W/YDL170W/YDL066W/YDR019C/YDR158W/YDR253C/YDR354W/YDR502C/YEL071W/YER024W/YER052C/YER055C/YER069W/YER073W/YER091C/YFR025C/YGL202W/YGL184C/YGL125W/YGL026C/YGL009C/YGR155W/YGR204W/YGR267C/YHR018C/YHR112C/YHR208W/YIL116W/YIL074C/YIL046W/YIR017C/YIR034C/YJL088W/YJL071W/YJL060W/YJR010W/YJR109C/YJR130C/YJR137C/YJR139C/YKL211C/YKL001C/YKR069W/YLL062C/YLR058C/YLR134W/YLR180W/YLR303W/YMR020W/YMR062C/YMR189W/YNL311C/YNL277W/YNL104C/YNL097C-B/YOL140W/YOL064C/YOL058W/YOR130C/YOR184W/YOR202W/YOR303W/YOR388C/YPR145W/YPR167C"
"oxoacid metabolic process",3.06156430651464e-23,69,376,"YAL044C/YAL012W/YBR248C/YCL030C/YDL182W/YDL170W/YDL066W/YDR019C/YDR158W/YDR253C/YDR354W/YDR502C/YEL071W/YER024W/YER052C/YER055C/YER069W/YER073W/YER091C/YFR025C/YGL202W/YGL184C/YGL125W/YGL026C/YGL009C/YGR155W/YGR204W/YGR267C/YHR018C/YHR112C/YHR208W/YIL116W/YIL074C/YIL046W/YIR017C/YIR034C/YJL088W/YJL071W/YJL060W/YJR010W/YJR109C/YJR130C/YJR137C/YJR139C/YKL211C/YKL001C/YKR069W/YLL062C/YLR058C/YLR134W/YLR180W/YLR303W/YMR020W/YMR062C/YMR189W/YNL311C/YNL277W/YNL104C/YNL097C-B/YOL140W/YOL064C/YOL058W/YOR130C/YOR184W/YOR202W/YOR303W/YOR388C/YPR145W/YPR167C"
"organic acid metabolic process",3.97148104599461e-23,69,378,"YAL044C/YAL012W/YBR248C/YCL030C/YDL182W/YDL170W/YDL066W/YDR019C/YDR158W/YDR253C/YDR354W/YDR502C/YEL071W/YER024W/YER052C/YER055C/YER069W/YER073W/YER091C/YFR025C/YGL202W/YGL184C/YGL125W/YGL026C/YGL009C/YGR155W/YGR204W/YGR267C/YHR018C/YHR112C/YHR208W/YIL116W/YIL074C/YIL046W/YIR017C/YIR034C/YJL088W/YJL071W/YJL060W/YJR010W/YJR109C/YJR130C/YJR137C/YJR139C/YKL211C/YKL001C/YKR069W/YLL062C/YLR058C/YLR134W/YLR180W/YLR303W/YMR020W/YMR062C/YMR189W/YNL311C/YNL277W/YNL104C/YNL097C-B/YOL140W/YOL064C/YOL058W/YOR130C/YOR184W/YOR202W/YOR303W/YOR388C/YPR145W/YPR167C"
"sulfur compound metabolic process",4.82926703976886e-23,42,134,"YAL012W/YBR092C/YBR213W/YBR240C/YCR020C/YDR158W/YDR253C/YDR502C/YER052C/YER091C/YFR030W/YGL202W/YGL184C/YGL125W/YGR144W/YGR154C/YGR155W/YGR204W/YHR112C/YHR208W/YIL046W/YIR017C/YJL101C/YJR010W/YJR130C/YJR137C/YJR139C/YKL001C/YKR069W/YLL062C/YLR180W/YLR303W/YNL311C/YNL277W/YNL191W/YOL064C/YOL055C/YOR143C/YPL258C/YPL214C/YPR121W/YPR167C"
"sulfur compound biosynthetic process",1.75168403863901e-22,34,85,"YAL012W/YBR240C/YDR158W/YDR502C/YER052C/YER091C/YFR030W/YGL202W/YGL184C/YGL125W/YGR144W/YGR155W/YGR204W/YHR208W/YIL046W/YIR017C/YJL101C/YJR010W/YJR130C/YJR137C/YJR139C/YKL001C/YKR069W/YLL062C/YLR180W/YLR303W/YNL277W/YOL064C/YOL055C/YOR143C/YPL258C/YPL214C/YPR121W/YPR167C"
"sulfur amino acid biosynthetic process",1.64170135231309e-19,22,36,"YAL012W/YDR158W/YER052C/YER091C/YGL202W/YGL184C/YGL125W/YGR155W/YGR204W/YHR208W/YIL046W/YIR017C/YJR130C/YJR137C/YJR139C/YKL001C/YKR069W/YLL062C/YLR303W/YNL277W/YOL064C/YPR167C"
"methionine metabolic process",2.22724281357046e-18,21,35,"YDR158W/YDR502C/YER052C/YER091C/YGL202W/YGL184C/YGL125W/YGR204W/YHR208W/YIL046W/YIR017C/YJR130C/YJR139C/YKL001C/YKR069W/YLL062C/YLR180W/YLR303W/YNL277W/YOL064C/YPR167C"
"aspartate family amino acid biosynthetic process",5.87043242110013e-17,23,49,"YDL182W/YDR158W/YER052C/YER091C/YGL202W/YGL184C/YGL125W/YGR204W/YHR208W/YIL046W/YIR017C/YIR034C/YJR130C/YJR139C/YKL001C/YKR069W/YLL062C/YLR303W/YNL277W/YNL097C-B/YOL064C/YPR145W/YPR167C"
"serine family amino acid metabolic process",1.36403644863504e-16,20,36,"YAL044C/YAL012W/YDR019C/YDR158W/YER052C/YGL184C/YGR155W/YHR112C/YIL074C/YIL046W/YIR017C/YJR130C/YJR139C/YKL001C/YLR058C/YLR303W/YMR189W/YNL277W/YOR184W/YPR167C"
"methionine biosynthetic process",1.63237929676922e-16,19,32,"YDR158W/YER052C/YER091C/YGL202W/YGL184C/YGL125W/YGR204W/YHR208W/YIL046W/YIR017C/YJR130C/YJR139C/YKL001C/YKR069W/YLL062C/YLR303W/YNL277W/YOL064C/YPR167C"
