"","SRR1166442_Aligned.sortedByCoord.out.bam","SRR1166443_Aligned.sortedByCoord.out.bam","SRR1166444_Aligned.sortedByCoord.out.bam","SRR1166445_Aligned.sortedByCoord.out.bam","SRR1166446_Aligned.sortedByCoord.out.bam","SRR1166447_Aligned.sortedByCoord.out.bam"
"YER034W",7.09185249610398,7.131640758562,7.13638941621856,7.00998348861892,6.83781764621614,6.99162255737
"YER035W",8.49163445213432,8.56318042016373,8.6522567551202,9.40654373263733,9.4054420994054,9.36168379608571
"YER036C",6.91134879765525,7.09946902378879,7.24661130427313,7.73281163217489,7.57744771595377,7.76109248651391
"YER037W",7.40167666501199,7.38033742634583,7.34228591710144,6.39576819106942,6.29446077101716,6.3508346519893
"YER038C",4.87254619884106,4.78030223269319,4.73899504092138,4.43225170492365,4.49532186058842,4.47845327955742
"YER038W-A",0.397047970647702,0.440671334918882,0.716645226257878,0.66187220397569,0.831600595098472,0.464968341857628
"YER039C",4.82372580581209,4.79250306145846,4.81624950429347,4.63904126244176,4.62246041239742,4.59010533948331
"YER039C-A",5.88625221837824,5.91682692555482,5.80745302505314,5.59155006078678,5.57652781002884,5.45955275884365
"YER040W",5.47872787669974,5.51054838074674,5.48950707344744,4.67673380770929,4.62933032903705,4.66559004653308
"YER041W",5.21870113127423,5.12545740758257,5.19379441741489,5.35217200134654,5.43578673309762,5.39192030515485
"YER042W",7.55529899365826,7.46866136603721,7.41497053231451,6.53860431907524,6.61200277628932,6.40267244186348
"YER043C",8.73551817803352,8.88827193741565,9.03112968575214,9.07747012777868,8.8125193126291,9.17286933603298
"YER044C",8.39742410937278,8.44671005115432,8.64517449293456,8.84383282600766,8.75016778852327,8.99176334902423
"YER044C-A",2.09455193721996,2.04548749724411,2.21814597035487,2.26182325501163,2.26087296247217,2.21135198350685
"YER045C",6.41010020209614,6.4474975023365,6.48527425358083,6.47543758621876,6.74448392292598,6.59516340787401
"YER046W",7.55883079478573,7.520005498093,7.51230131326206,8.56921985790982,8.57892923815612,8.54186425261973
"YER047C",4.52211166799462,4.68229489406417,4.6360192662064,4.84419245235097,4.84239556054782,4.9166562411838
"YER048C",6.72478650713535,6.63651246640123,6.65507225122987,6.80023582501607,6.76778312436049,6.80467725927124
"YNCE0014W",0.878315975356311,1.3290076025634,0.980166682679056,0.469946059897223,0.544396797008203,1.00444831531945
"YER048W-A",7.58901127135461,7.48872670461969,7.54325188758729,7.12737864989249,7.16202263194195,7.09259089879764
"YER049W",6.26433769820226,6.3818997483313,6.43292515379584,5.78776617145672,5.82636314615337,5.89569172035673
"YER050C",7.61061776089857,7.54017754458495,7.55336887087031,7.94444171858979,7.84735533555859,7.83218818605907
"YER051W",5.41077388893507,5.37602497396836,5.36547216683278,5.27692766557963,5.42097878482541,5.2939079886315
"YER052C",9.48690100069994,9.51086218108186,9.40635239008106,7.6313375191698,7.56073347531109,7.64397936967694
