"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"YLL053C",411.018071858475,-2.07567332608234,0.105225632039977,-19.7259288050059,1.29163057925039e-86,2.30377273372514e-85,"Down"
"YLL052C",359.101005679188,-2.11613376670906,0.108363973463088,-19.5280193138162,6.34531493327711e-85,1.09765256133457e-83,"Down"
"YLR004C",23052.8688045967,-3.74346330251087,0.0907143602340542,-41.2664906951035,0,0,"Down"
"YLR034C",5196.03562920799,-1.65429427652427,0.106229662048618,-15.5728093700153,1.11404729375809e-54,1.39565369301361e-53,"Down"
"YLR042C",983.950591666654,-1.05307969389492,0.0747053681577547,-14.0964393839964,3.99419983036538e-45,4.24568648635135e-44,"Down"
"YLR058C",46520.1178604,-1.92039091903888,0.0583088906665286,-32.9347874241287,6.9859443296405e-238,4.00993204521365e-236,"Down"
"YLR092W",21544.9879758528,-3.99170003490537,0.0890861478585157,-44.80719091418,0,0,"Down"
"YLR111W",62.3162400956659,-2.24062063172251,0.249668144788999,-8.97439532630852,2.84912399716869e-19,1.40872113689296e-18,"Down"
"YLR130C",22314.1411166064,-1.71869190712401,0.0588177938431081,-29.2206115671133,1.06131505686663e-187,4.52779950611887e-186,"Down"
"YLR134W",20000.1869358015,-5.12975595280156,0.0793579376200033,-64.6407417663099,0,0,"Down"
"YLR136C",6848.01828174978,-1.1380476011909,0.198534567791818,-5.73223904455895,9.91134523749452e-09,2.80126382406179e-08,"Down"
"YLR179C",38180.2545647355,-1.95040372847939,0.0484287289579652,-40.2736922988892,0,0,"Down"
"YLR180W",29242.9578423481,-2.80361201512799,0.0647500419244923,-43.2989992253193,0,0,"Down"
"YNCL0032C",30.4559957884825,-1.34697743910868,0.356847577221602,-3.77465765522686,0.000160227550988625,0.000307127127183418,"Down"
"YLR227W-B",210.098048084166,-1.81196626864508,0.132404066114476,-13.6851255540631,1.24591757360429e-42,1.26069287816306e-41,"Down"
"YLR237W",35988.0306733698,-1.50610105832581,0.0784810460960366,-19.1906343409694,4.43196730055228e-82,7.54270661339275e-81,"Down"
